Time,Run,Nature,Culture,LTM,MaxLTM,RC,UR
2400,3,0,0,29.9,39.8,0.9,62.47
2450,3,0,0,34.8,40.2,0.81,61.71
2500,3,0,0,33.4,40.6,0.85,62.03
2550,3,0,0,30.5,39.7,0.71,61.08
2600,3,0,0,34.8,40,0.77,63.4
2650,3,0,0,33,41,0.74,57.2
2700,3,0,0,33,38.4,0.87,64
2750,3,0,0,33.8,40.1,0.95,62.07
2800,3,0,0,36.1,40.5,0.9,63.47
2850,3,0,0,30.5,39.5,0.93,62.98
2900,3,0,0,30.9,39.2,0.8,57.71
2950,3,0,0,35.3,39.3,0.8,63.8
3000,3,0,0,32,39.1,0.81,60.88
3050,3,0,0,32.3,40,0.64,59.17
3100,3,0,0,33,38.2,0.61,60.19
3150,3,0,0,36.6,38.4,0.71,64
3200,3,0,0,33.1,37,0.64,38.38
3250,3,0,0,34.2,35.3,0.45,43.97
3300,3,0,0,34.3,34.3,0.31,0.9
3350,3,0,0,35,35,0.32,2.02
3400,3,0,0,35.3,35.3,0.3,0.67
3450,3,0,0,35.3,35.3,0.31,0.73
3500,3,0,0,36.5,36.5,0.21,0.68
3550,3,0,0,35.9,35.9,0.021,0.13
3600,3,0,0,36.3,36.3,0.001,0.04
3650,3,0,0,35.6,35.6,0.151,0.41
3700,3,0,0,35.1,35.1,0.181,0.42
3750,3,0,0,35,35,0.201,1
3800,3,0,0,35.7,35.8,0.201,0.63
3850,3,0,0,35.4,35.4,0.081,0.07
3900,3,0,0,36.7,36.7,0.101,0.28
3950,3,0,0,35.1,35.1,0.211,0.79
4000,3,0,0,33.2,33.2,0.281,0.48
4050,3,0,0,34,34,0.201,0.72
4100,3,0,0,34.2,34.2,0.111,0.23
4150,3,0,0,34.9,34.9,0.241,0.43
4200,3,0,0,35.3,35.3,0.241,0.87
4250,3,0,0,34.9,34.9,0.201,0.3
4300,3,0,0,34.4,34.4,0.251,0.57
4350,3,0,0,33,33,0.421,1.69
4400,3,0,0,32.1,32.1,0.401,1.4
